排名,车型,销量,厂商,售价(万元)
247,海马M6,15325,海马汽车,0.00 - 0.00
248,东风小康C37,15319,东风小康,5.18 - 6.18
249,吉利GX7,15298,吉利汽车,0.00 - 0.00
250,北汽幻速H2,14055,北汽幻速,3.98 - 6.68
251,长安之星9,13957,长安汽车,4.78 - 5.48
252,阁瑞斯,13931,华晨雷诺,8.88 - 27.78
253,宝骏630,13832,上汽通用五菱,0.00 - 0.00
254,乐风RV,13714,上汽通用雪佛兰,7.49 - 9.99
255,昌河Q35,13476,北汽昌河,0.00 - 0.00
256,北汽昌河Q25,13419,北汽昌河,0.00 - 0.00
257,传祺GA6,13401,广汽乘用车,10.88 - 16.88
258,观致3,13310,观致汽车,9.89 - 15.39
259,北汽威旺M50F,13153,北汽昌河,0.00 - 0.00
260,众泰Z700,13101,众泰汽车,0.00 - 0.00
261,揽胜极光,12759,奇瑞捷豹路虎,35.58 - 50.58
262,凯翼C3,12578,凯翼汽车,0.00 - 0.00
263,奥拓,12507,长安铃木,4.18 - 6.19
264,海马骑士,12287,海马汽车,0.00 - 0.00
265,晶锐,12272,上汽斯柯达,0.00 - 0.00
266,骏派D60,12259,天津一汽,0.00 - 0.00
267,启辰D50,12231,东风启辰,0.00 - 0.00
268,伽途ix5,12050,福田汽车,4.19 - 5.89
269,锋驭,11851,长安铃木,0.00 - 0.00
270,名爵3,11828,上汽名爵,0.00 - 0.00
271,勇士,11777,北京汽车制造厂,9.98 - 16.17
272,荣威e550,11708,上汽集团,0.00 - 0.00
273,欧蓝德,11559,广汽三菱,15.98 - 22.58
274,福美来MPV,11510,一汽海马,7.98 - 12.89
275,哈弗H9,11504,长城汽车,20.98 - 27.28
276,沃尔沃S60,11400,沃尔沃亚太,28.69 - 38.09
277,C-TREK蔚领,11340,一汽-大众,11.39 - 15.89
278,英致G3,11281,潍柴汽车,5.69 - 8.08
279,长安CX20,11137,长安汽车,0.00 - 0.00
280,观致5,10878,观致汽车,13.88 - 16.38
281,夏利N5,10875,天津一汽,0.00 - 0.00
282,比亚迪F0,10865,比亚迪,3.79 - 4.79
283,森雅M80,10640,一汽吉林,0.00 - 0.00
284,比亚迪e5,10531,比亚迪,22.07 - 23.07
285,日产NV200,10460,郑州日产,0.00 - 0.00
286,凯翼V3,10378,凯翼汽车,0.00 - 0.00
287,乐驰,10273,上汽通用五菱,0.00 - 0.00
288,路盛E70,10048,华泰汽车,0.00 - 0.00
289,众泰SR9,10033,众泰汽车,0.00 - 0.00
290,DS 6,10004,DS汽车,0.00 - 0.00
291,景逸S50,9901,东风风行,4.89 - 15.18
292,中华V5,9661,华晨中华,8.98 - 14.58
293,冠道,9429,广汽本田,22.00 - 33.28
294,竞瑞,9287,东风本田,0.00 - 0.00
295,北京BJ40,9277,北京越野,15.98 - 26.99
296,狮跑,9249,东风悦达起亚,0.00 - 0.00
297,众泰E200,9241,众泰新能源,0.00 - 0.00
298,知豆D2,9091,知豆电动车,0.00 - 0.00
299,标致4008,9002,东风标致,16.97 - 24.37
300,传祺GS8,8765,广汽乘用车,15.58 - 26.28
301,骊威,8763,东风日产,0.00 - 0.00
302,传祺GA3,8747,广汽乘用车,0.00 - 0.00
303,V5菱致,8734,东南汽车,0.00 - 0.00
304,福瑞迪,8615,东风悦达起亚,7.88 - 10.28
305,天语 SX4,8577,长安铃木,0.00 - 0.00
306,东南DX3,8535,东南汽车,0.00 - 10.59
307,江淮iEV,8513,江淮汽车,0.00 - 0.00
308,绅宝X65,8354,BEIJING汽车,0.00 - 0.00
309,开瑞K60,8353,开瑞汽车,4.99 - 6.69
310,标致308s,8306,东风标致,0.00 - 0.00
311,东风风神H30,8214,东风乘用车,0.00 - 0.00
312,菲翔,7836,广汽菲克菲亚特,0.00 - 0.00
313,江南TT,7790,众泰汽车,0.00 - 0.00
314,赛拉图,7631,东风悦达起亚,0.00 - 0.00
315,东风风度MX6,7590,东风风度,0.00 - 0.00
316,宝马2系旅行车,7556,华晨宝马,0.00 - 0.00
317,哈弗H8,7471,长城汽车,18.38 - 25.68
318,撼路者,7407,江铃福特,27.58 - 37.48
319,熊猫,7377,吉利汽车,0.00 - 0.00
320,V3菱悦,7272,东南汽车,0.00 - 0.00
321,欧力威,7181,长安汽车,0.00 - 0.00
322,传祺GS5 Super,7077,广汽乘用车,0.00 - 0.00
323,风行SX6,7008,东风风行,5.99 - 9.49
324,标致508,7004,东风标致,15.97 - 22.57
325,中华H230,6899,华晨中华,0.00 - 0.00
326,讴歌CDX,6842,广汽讴歌,22.98 - 34.98
327,和悦,6804,江淮汽车,0.00 - 0.00
328,逸致,6675,广汽丰田,14.98 - 18.98
329,长安之星,6567,长安汽车,0.00 - 0.00
