品牌,4S店数,车型,报价(单位：万)
思铭,2,东风本田X-NV,16.98-17.98
思铭,2,东风本田M-NV,14.98-15.98
SERES赛力斯,0,赛力斯SF5,24.90-33.90
SERES赛力斯,0,赛力斯ix3,暂无报价
双环,33,双环SCEO,暂无报价
双环,33,来宝SRV,暂无报价
双环,33,小贵族,暂无报价
SRM鑫源,1,鑫源X30LEV,16.98-17.08
SRM鑫源,1,鑫源T50EV,15.28-17.18
SRM鑫源,1,好运1号,12.68-13.78
SRM鑫源,1,好运2号,11.68-11.88
SRM鑫源,1,鑫源X30L,5.70-6.38
SRM鑫源,1,小海狮EV,11.58-11.78
SRM鑫源,1,鑫源T32S,4.69-5.28
SRM鑫源,1,鑫源T20EV,10.68-10.98
SRM鑫源,1,鑫源T20S,3.59-3.74
SRM鑫源,1,鑫源T30S,4.39-4.98
SRM鑫源,1,鑫源T22S,3.89-4.04
赛麟,0,赛麟科迈罗,暂无报价
赛麟,0,迈迈,15.88-16.88
赛麟,0,赛麟Mustang,暂无报价
赛麟,0,迈客,暂无报价
赛麟,0,赛麟S1,暂无报价
世爵,0,世爵C8,暂无报价
萨博,0,Saab 9-3,暂无报价
速达,0,速达SD01,15.00-15.00
速达,0,速达SA01,17.00-17.00
特斯拉,8,Model 3,26.57-41.98
特斯拉,8,MODEL X,77.29-100.00
特斯拉,8,Model S,73.39-117.49
特斯拉,8,Model 3(进口),暂无报价
特斯拉,8,Roadster,暂无报价
特斯拉,8,Cybertruck,暂无报价
特斯拉,8,Model Y,暂无报价
腾势,55,腾势X,28.98-35.78
腾势,55,腾势,29.88-32.88
天际汽车,0,天际ME7,21.88-36.68
天美汽车,0,天美汽车ET5,15.28-19.88
泰卡特,0,泰卡特 T9,暂无报价
沃尔沃,232,沃尔沃XC60,36.29-47.09
沃尔沃,232,沃尔沃XC40,26.48-38.58
沃尔沃,232,沃尔沃XC90,63.39-83.39
沃尔沃,232,沃尔沃S90,37.29-50.59
沃尔沃,232,沃尔沃S60,28.69-38.09
沃尔沃,232,沃尔沃V60,30.43-43.99
沃尔沃,232,沃尔沃V90,44.39-55.69
沃尔沃,232,沃尔沃V40,暂无报价
沃尔沃,232,沃尔沃S90新能源,49.99-104.39
沃尔沃,232,沃尔沃XC90新能源,89.19-128.58
沃尔沃,232,沃尔沃S60(进口),暂无报价
沃尔沃,232,沃尔沃S80L,暂无报价
沃尔沃,232,沃尔沃XC60新能源,52.79-60.59
沃尔沃,232,沃尔沃S40,暂无报价
沃尔沃,232,沃尔沃XC40(进口),31.59-40.39
沃尔沃,232,沃尔沃S60新能源,39.99-46.19
沃尔沃,232,沃尔沃XC90加版,73.80-79.80
沃尔沃,232,沃尔沃XC90美版,79.80-79.80
沃尔沃,232,沃尔沃XC90墨版,72.80-72.80
沃尔沃,232,沃尔沃C30,暂无报价
沃尔沃,232,沃尔沃C70,暂无报价
沃尔沃,232,沃尔沃S80,暂无报价
沃尔沃,232,沃尔沃XC60(进口),暂无报价
沃尔沃,232,沃尔沃XC40新能源（进口）,暂无报价
沃尔沃,232,沃尔沃S90(进口),暂无报价
沃尔沃,232,沃尔沃XC40新能源,暂无报价
五菱汽车,517,五菱凯捷,8.58-13.48
五菱汽车,517,五菱宏光,4.28-5.88
五菱汽车,517,五菱宏光S3,5.68-8.28
五菱汽车,517,五菱宏光PLUS,5.88-7.98
五菱汽车,517,五菱宏光S,4.28-5.58
五菱汽车,517,五菱荣光小卡,3.56-4.88
五菱汽车,517,五菱荣光新卡,4.58-6.28
五菱汽车,517,五菱荣光,3.68-5.38
五菱汽车,517,五菱之光,3.23-3.66
五菱汽车,517,宏光MINI EV,2.88-3.88
五菱汽车,517,五菱宏光V,4.18-5.45
五菱汽车,517,五菱荣光V,3.98-4.98
五菱汽车,517,五菱之光小卡,3.49-3.79
五菱汽车,517,五菱EV50,10.80-11.98
五菱汽车,517,五菱荣光EV,8.38-9.01
五菱汽车,517,五菱之光V,3.38-3.68
五菱汽车,517,PN货车,3.66-3.99
五菱汽车,517,五菱荣光小卡翼开启,5.58-5.58
五菱汽车,517,五菱征途,暂无报价
五菱汽车,517,宏光侠,暂无报价
WEY,54,WEY VV7,16.98-19.28
WEY,54,WEY VV6,14.80-17.50
WEY,54,WEY VV5,12.58-14.78
WEY,54,坦克300,17.58-21.38
WEY,54,WEY VV7 GT,19.18-25.88
WEY,54,WEY VV7新能源,21.98-23.98
WEY,54,WEY VV7 GT新能源,25.68-25.68
WEY,54,玛奇朵,暂无报价
WEY,54,WEY P8,暂无报价
蔚来,2,蔚来ES6,35.80-52.60
蔚来,2,蔚来ES8,46.80-62.40
蔚来,2,蔚来EC6,36.80-52.60
蔚来,2,蔚来ET7,44.80-52.60
蔚来,2,蔚来ET,暂无报价
蔚来,2,蔚来EP9,暂无报价
五十铃,55,mu-X牧游侠,17.88-28.48
五十铃,55,D-MAX,14.48-22.48
五十铃,55,瑞迈,8.38-13.58
五十铃,55,铃拓,11.18-15.48
五十铃,55,TAGA达咖,9.98-13.48
五十铃,55,D-MAX(海外),暂无报价
五十铃,55,五十铃mu-X(海外),暂无报价
五十铃,55,多功能连体皮卡车,暂无报价
五十铃,55,五十铃轻卡,暂无报价
威马汽车,2,威马EX5,14.68-19.88
威马汽车,2,威马EX6,18.99-28.88
威马汽车,2,威马EVOLVE,暂无报价
潍柴汽车,28,VGV U70,6.99-11.89
潍柴汽车,28,英致737,4.98-8.78
潍柴汽车,28,英致727,3.99-4.69
潍柴汽车,28,英致G3,5.69-8.08
潍柴汽车,28,英致G5,5.98-8.58
潍柴汽车,28,英致P80,暂无报价
潍柴汽车,28,英致EX1,暂无报价
潍柴汽车,28,潍柴汽车TX7,暂无报价
潍柴汽车,28,英致737EV,暂无报价
威麟,30,威麟V5,暂无报价
威麟,30,威麟X5,暂无报价
威麟,30,威麟H5,20.68-22.68
威兹曼,0,威兹曼GT,暂无报价
现代,840,朗动,11.58-12.78
现代,840,北京现代ix35,11.99-16.19
现代,840,胜达,20.28-27.28
现代,840,瑞纳,4.99-7.39
现代,840,悦动,8.49-11.59
现代,840,菲斯塔,11.98-15.48
现代,840,领动,10.98-14.68
现代,840,名图,13.38-16.98
现代,840,伊兰特,9.98-14.18
现代,840,北京现代ix25,10.58-13.68
现代,840,悦纳,9.68
现代,840,途胜,16.99-21.99
现代,840,索纳塔,16.18-20.58
现代,840,帕里斯帝,29.88-32.98
现代,840,昂希诺纯电动,17.28-19.88
现代,840,劳恩斯-酷派,暂无报价
现代,840,索纳塔插电混动,22.28-25.68
现代,840,逸行,9.09-11.99
现代,840,菲斯塔纯电动,17.38-19.88
现代,840,Veloster飞思,17.28-21.98
现代,840,ENCINO 昂希诺,12.99-15.59
现代,840,格越,25.60-38.78
现代,840,领动插电混动,15.78-17.88
现代,840,瑞奕,7.29-9.99
现代,840,捷恩斯,37.80-64.88
现代,840,伊兰特EV,暂无报价
现代,840,H-1辉翼,21.18-24.98
现代,840,康恩迪,39.60-49.00
现代,840,NEXO,暂无报价
现代,840,名图新能源,暂无报价
现代,840,KONA新能源,暂无报价
现代,840,御翔,暂无报价
现代,840,酷派,暂无报价
现代,840,捷尼赛思GV70,暂无报价
现代,840,现代i20,暂无报价
现代,840,IONIQ 5,暂无报价
现代,840,悦纳RV,暂无报价
现代,840,名驭,暂无报价
现代,840,领翔,暂无报价
现代,840,索纳塔八,暂无报价
现代,840,北京现代i30,暂无报价
现代,840,雅绅特,暂无报价
现代,840,捷尼赛思G70,暂无报价
现代,840,现代i30(海外),暂无报价
现代,840,伊兰特(海外),暂无报价
现代,840,捷尼赛思GV80,暂无报价
现代,840,劳恩斯,暂无报价
现代,840,维拉克斯,暂无报价
现代,840,现代i10,暂无报价
现代,840,新胜达(进口),暂无报价
现代,840,全新胜达(进口),暂无报价
现代,840,雅科仕,暂无报价
现代,840,雅尊,暂无报价
现代,840,捷尼赛思G90,暂无报价
现代,840,途胜(进口),暂无报价
雪佛兰,645,探界者,16.99-24.59
雪佛兰,645,开拓者,22.99-32.99
雪佛兰,645,迈锐宝XL,15.49-21.99
雪佛兰,645,科鲁泽,8.99-12.29
雪佛兰,645,沃兰多,11.49-15.99
雪佛兰,645,科沃兹,7.99-9.99
雪佛兰,645,迈锐宝,16.49-18.99
雪佛兰,645,科鲁兹,暂无报价
雪佛兰,645,创酷,9.99-13.99
雪佛兰,645,赛欧,6.29-7.99
雪佛兰,645,创界,13.99-17.99
雪佛兰,645,科帕奇,17.99-20.99
雪佛兰,645,科迈罗,39.99-39.99
雪佛兰,645,爱唯欧,暂无报价
雪佛兰,645,畅巡,15.99-17.99
雪佛兰,645,乐风RV,7.49-9.99
雪佛兰,645,Suburban萨博班加版,142.00-142.00
雪佛兰,645,科尔维特美版,150.00-150.00
雪佛兰,645,科迈罗美版,36.60-36.60
雪佛兰,645,科尔维特加版,150.00-150.00
雪佛兰,645,索罗德,59.90-69.90
雪佛兰,645,科迈罗加版,52.60-52.60
雪佛兰,645,库罗德,54.99-59.99
雪佛兰,645,Blazer(海外),暂无报价
雪佛兰,645,景程,暂无报价
雪佛兰,645,乐骋,暂无报价
雪佛兰,645,乐风,暂无报价
雪佛兰,645,科帕奇(进口),暂无报价
雪铁龙,317,天逸 C5 AIRCROSS,14.97-23.87
雪铁龙,317,雪铁龙C5,16.99-21.59
雪铁龙,317,雪铁龙C6,18.99-27.59
雪铁龙,317,雪铁龙C4L,10.69-14.19
雪铁龙,317,雪铁龙C3-XR,9.48-11.89
雪铁龙,317,爱丽舍,8.38-10.28
雪铁龙,317,世嘉,暂无报价
雪铁龙,317,云逸 C4 AIRCROSS,10.68-15.68
雪铁龙,317,C4 PICASSO,21.68-26.58
雪铁龙,317,天逸 C5 AIRCROSS新能源,23.47-26.47
雪铁龙,317,雪铁龙C4 Aircross,19.98-27.98
雪铁龙,317,雪铁龙C3L,8.49-10.59
雪铁龙,317,雪铁龙C4,暂无报价
雪铁龙,317,富康,暂无报价
雪铁龙,317,C4世嘉,暂无报价
雪铁龙,317,毕加索,暂无报价
雪铁龙,317,凯旋,暂无报价
雪铁龙,317,雪铁龙C2,暂无报价
雪铁龙,317,雪铁龙C5(进口),暂无报价
雪铁龙,317,雪铁龙C5 AIRCROSS新能源,暂无报价
新宝骏,5,新宝骏RM-5,7.88-12.08
新宝骏,5,新宝骏RS-5,9.78-13.58
新宝骏,5,新宝骏RS-3,6.38-9.88
新宝骏,5,新宝骏RC-6,8.48-12.38
新宝骏,5,新宝骏RC-5,5.98-11.28
新宝骏,5,新宝骏E300,6.48-8.48
新宝骏,5,新宝骏RS-7,暂无报价
星途,4,星途LX,10.99-15.09
星途,4,星途TX,13.59-14.79
星途,4,星途TXL,13.59-17.59
星途,4,揽月,暂无报价
小鹏汽车,2,小鹏汽车G3,14.68-19.98
小鹏汽车,2,小鹏汽车P7,22.99-40.99
新特汽车,3,SITECH DEV 1,13.99-16.49
新特汽车,3,启能GEV 1,14.79-15.59
西雅特,0,LEON,暂无报价
西雅特,0,伊比飒,暂无报价
西雅特,0,欧悦搏,暂无报价
西雅特,0,Cupra Ateca,暂无报价
新凯汽车,7,新凯威霆,90.80-180.00
英菲尼迪,105,英菲尼迪QX50,33.38-46.98
英菲尼迪,105,英菲尼迪Q50L,26.48-38.98
英菲尼迪,105,英菲尼迪QX60,47.98-56.98
英菲尼迪,105,英菲尼迪Q70,38.18-43.98
英菲尼迪,105,英菲尼迪QX30,22.78-35.68
英菲尼迪,105,英菲尼迪Q60,35.88-37.78
英菲尼迪,105,英菲尼迪Q50,38.98-54.98
英菲尼迪,105,英菲尼迪QX70,75.48-80.80
英菲尼迪,105,英菲尼迪QX80中东版,106.00-115.00
英菲尼迪,105,英菲尼迪ESQ,暂无报价
英菲尼迪,105,英菲尼迪QX70中东版,60.00-60.00
英菲尼迪,105,英菲尼迪QX55,暂无报价
英菲尼迪,105,英菲尼迪QX,暂无报价
英菲尼迪,105,英菲尼迪EX,暂无报价
英菲尼迪,105,英菲尼迪FX,暂无报价
英菲尼迪,105,英菲尼迪G系,暂无报价
英菲尼迪,105,英菲尼迪M系,暂无报价
英菲尼迪,105,英菲尼迪QX50(进口),暂无报价
英菲尼迪,105,英菲尼迪QX80,暂无报价
依维柯,29,依维柯欧胜,13.59-32.59
依维柯,29,依维柯得意,11.84-17.00
依维柯,29,依维柯褒迪,14.39-32.49
依维柯,29,依维柯Ouba,27.57-34.69
依维柯,29,都灵,暂无报价
依维柯,29,Daily,暂无报价
一汽,372,森雅R7,6.69-10.69
一汽,372,夏利N5,暂无报价
一汽,372,森雅R9,8.39-12.59
一汽,372,骏派D60,暂无报价
一汽,372,威志V5,暂无报价
一汽,372,夏利N7,暂无报价
一汽,372,威志V2,暂无报价
一汽,372,森雅S80,暂无报价
一汽,372,夏利,暂无报价
一汽,372,骏派A50,暂无报价
一汽,372,森雅M80,暂无报价
一汽,372,威乐,暂无报价
一汽,372,骏派CX65,暂无报价
一汽,372,骏派A70,暂无报价
一汽,372,解放T80,3.49-4.04
一汽,372,森雅R8,7.49-8.99
一汽,372,佳宝V77,3.09-3.59
一汽,372,佳宝V80,4.09-5.39
一汽,372,骏派D80,暂无报价
一汽,372,佳宝V80新能源,11.98-13.68
一汽,372,佳宝V75,2.89-3.09
一汽,372,森雅R7新能源,17.98-17.98
一汽,372,佳宝T50,暂无报价
一汽,372,佳宝T51,暂无报价
一汽,372,佳宝T57,暂无报价
一汽,372,佳宝V52,暂无报价
一汽,372,佳宝V70 II代,暂无报价
一汽,372,蓝舰T340,暂无报价
一汽,372,一汽蓝舰H6,9.68-12.98
一汽,372,威志,暂无报价
一汽,372,威姿,暂无报价
一汽,372,骏派A70E,暂无报价
一汽,372,佳宝V70,暂无报价
一汽,372,坤程,6.38-6.58
驭胜,28,驭胜S350,12.18-20.18
驭胜,28,驭胜S330,8.88-14.08
野马汽车,137,野马T70,暂无报价
野马汽车,137,斯派卡,4.99-7.58
野马汽车,137,野马T80,8.98-12.98
野马汽车,137,野马F12,暂无报价
野马汽车,137,野马F10,暂无报价
野马汽车,137,博骏,4.99-12.99
野马汽车,137,野马F16,暂无报价
野马汽车,137,野马EC60,10.99-25.58
野马汽车,137,野马EC30,暂无报价
野马汽车,137,野马F99,暂无报价
野马汽车,137,斯派卡新能源,9.99-12.99
野马汽车,137,野马EC70,19.68-21.88
宇通客车,1,宇通CL6,27.98-27.98
宇通客车,1,宇通T7,38.80-78.80
云度,1,云度π3,11.98-14.48
云度,1,云度π1,11.28-11.98
云度,1,云度π7,暂无报价
云度,1,云度V01L,12.98-12.98
远程汽车,0,远程E200,18.00-18.00
远程汽车,0,远程E5,10.88-10.88
远程汽车,0,远程E6,12.98-12.98
远程汽车,0,远程E200S,13.98-14.78
远程汽车,0,远程RE500,21.99-21.99
永源,5,永源A380,暂无报价
永源,5,猎鹰,暂无报价
永源,5,永源五星,暂无报价
银隆新能源,0,银隆艾菲,43.00-43.00
一汽凌河,0,雷神,9.38-11.98
裕路汽车,8,裕路EV2,暂无报价
众泰,1345,众泰T600,7.98-13.78
众泰,1345,众泰T300,暂无报价
众泰,1345,众泰T700,10.68-15.58
众泰,1345,众泰T500,6.98-12.38
众泰,1345,众泰SR9,暂无报价
众泰,1345,大迈X5,暂无报价
众泰,1345,大迈X7,暂无报价
众泰,1345,众泰E200,暂无报价
众泰,1345,众泰SR7,暂无报价
众泰,1345,众泰Z360,暂无报价
众泰,1345,众泰T800,暂无报价
众泰,1345,众泰T600 Coupe,暂无报价
众泰,1345,众泰T200,暂无报价
众泰,1345,云100,暂无报价
众泰,1345,众泰Z560,暂无报价
众泰,1345,芝麻,暂无报价
众泰,1345,众泰Z300,5.49-7.58
众泰,1345,众泰V10,3.78-5.08
众泰,1345,众泰Z500新能源,11.39-12.59
众泰,1345,众泰T300新能源,暂无报价
众泰,1345,众泰Z200HB,暂无报价
众泰,1345,众泰Z200,暂无报价
众泰,1345,众泰M300,暂无报价
众泰,1345,众泰Z700,暂无报价
众泰,1345,众泰2008,暂无报价
众泰,1345,众泰5008,暂无报价
中华,318,中华V7,10.87-15.99
中华,318,中华V3,5.07-8.77
中华,318,中华V6,8.79-14.19
中华,318,中华V5,8.98-14.58
中华,318,中华H530,8.58-13.98
中华,318,中华H330,暂无报价
中华,318,中华H3,暂无报价
中华,318,中华H320,暂无报价
中华,318,中华H230EV,16.98-17.98
中华,318,中华H220,暂无报价
中华,318,中华H230,暂无报价
中华,318,中华骏捷,暂无报价
中华,318,中华骏捷Cross,暂无报价
中华,318,中华骏捷FRV,暂无报价
中华,318,中华骏捷FSV,暂无报价
中华,318,中华酷宝,暂无报价
中华,318,中华E5,暂无报价
中兴,192,领主,8.48-19.88
中兴,192,威虎,6.98-10.08
中兴,192,小老虎,5.60-7.58
中兴,192,中兴GX3,暂无报价
中兴,192,威虎TUV,暂无报价
中兴,192,无限V5,暂无报价
中兴,192,威虎G3,暂无报价
中兴,192,无限V3,暂无报价
知豆,50,知豆D2,暂无报价
知豆,50,知豆D3,暂无报价
之诺,7,之诺60H,暂无报价
